Close,Open,High,Low,Adj Close,Volume
0.098772,0.099888,0.099888,0.098772,0.076231,18905600
0.09654,0.097656,0.097656,0.09654,0.074509,17001600
0.095424,0.09654,0.09654,0.095424,0.073647,20675200
0.09654,0.09654,0.097098,0.09654,0.074509,17113600
0.089844,0.09096,0.09096,0.089844,0.069341,41910400
0.084263,0.084821,0.084821,0.084263,0.065033,23072000
0.086496,0.086496,0.087054,0.086496,0.066757,40700800
0.084821,0.085379,0.085379,0.084821,0.065464,33600000
0.085379,0.085379,0.085938,0.085379,0.065895,25916800
0.089844,0.089844,0.090402,0.089844,0.069341,38035200
0.089844,0.089844,0.090402,0.089844,0.069341,40947200
0.095424,0.095424,0.095982,0.095424,0.073647,37027200
0.097098,0.097098,0.097656,0.097098,0.074939,19376000
0.092076,0.093192,0.093192,0.092076,0.071063,37475200
0.09096,0.091518,0.091518,0.09096,0.070202,15254400
0.08817,0.088728,0.088728,0.08817,0.068049,25446400
0.08817,0.08817,0.088728,0.08817,0.068049,30531200
0.088728,0.088728,0.089286,0.088728,0.068479,34809600
0.087612,0.08817,0.08817,0.087612,0.067618,17539200
0.084821,0.085379,0.085379,0.084821,0.065464,27686400
0.082589,0.083147,0.083147,0.082589,0.063741,19510400
0.080915,0.081473,0.081473,0.080915,0.062449,19353600
0.078683,0.079241,0.079241,0.078683,0.060727,19376000
0.079241,0.079241,0.079799,0.079241,0.061157,26320000
0.079799,0.079799,0.080357,0.079799,0.061588,49033600
0.075335,0.075893,0.075893,0.075335,0.058143,47420800
0.073661,0.074777,0.074777,0.073661,0.056851,28201600
0.073103,0.073661,0.073661,0.073103,0.05642,18300800
0.063616,0.064732,0.064732,0.063616,0.049098,34608000
0.064174,0.064174,0.064732,0.064174,0.049529,91728000
0.067522,0.067522,0.06808,0.067522,0.052113,94684800
0.06808,0.06808,0.068638,0.06808,0.052543,49996800
0.06808,0.06808,0.068638,0.06808,0.052543,61129600
0.073661,0.073661,0.074219,0.073661,0.056851,45046400
0.075893,0.075893,0.077009,0.075893,0.058573,43097600
0.075335,0.075893,0.075893,0.075335,0.058143,28358400
0.079799,0.079799,0.080915,0.079799,0.061588,38841600
0.082589,0.082589,0.083147,0.082589,0.063741,31091200
0.083147,0.083147,0.084263,0.083147,0.064172,54521600
0.085938,0.085938,0.086496,0.085938,0.066326,27350400
0.085938,0.085938,0.087054,0.085938,0.066326,44195200
0.080915,0.081473,0.081473,0.080915,0.062449,30979200
0.082589,0.082589,0.083147,0.082589,0.063741,29433600
0.081473,0.082031,0.082031,0.081473,0.06288,36467200
0.083147,0.083147,0.083705,0.083147,0.064172,20585600
0.087612,0.087612,0.08817,0.087612,0.067618,35728000
0.087612,0.087612,0.08817,0.087612,0.067618,76899200
0.087054,0.087612,0.087612,0.087054,0.067187,32278400
0.084821,0.085379,0.085379,0.084821,0.065464,27910400
0.084821,0.084821,0.085379,0.084821,0.065464,27283200
0.086496,0.086496,0.087612,0.086496,0.066757,85590400
0.089286,0.089286,0.089844,0.089286,0.06891,44172800
0.08817,0.088728,0.088728,0.08817,0.068049,30486400
0.089286,0.089286,0.089844,0.089286,0.06891,52729600
0.089286,0.089286,0.089844,0.089286,0.06891,36915200
0.08817,0.088728,0.088728,0.08817,0.068049,28380800
0.085938,0.086496,0.086496,0.085938,0.066326,23811200
0.079799,0.080357,0.080357,0.079799,0.061588,23363200
0.080357,0.080357,0.080915,0.080357,0.062019,24595200
0.081473,0.081473,0.082031,0.081473,0.06288,20384000
0.082031,0.082031,0.082589,0.082031,0.063311,16755200
0.084263,0.084263,0.084821,0.084263,0.065033,27440000
0.087054,0.087054,0.087612,0.087054,0.067187,39916800
0.080915,0.081473,0.081473,0.080915,0.062449,21011200
0.079799,0.080357,0.080357,0.079799,0.061588,22556800
0.081473,0.081473,0.082031,0.081473,0.06288,35414400
0.084263,0.084263,0.084821,0.084263,0.065033,29142400
0.084263,0.084263,0.084821,0.084263,0.065033,40006400
0.084821,0.084821,0.085379,0.084821,0.065464,38102400
0.080915,0.082031,0.082031,0.080915,0.062449,22960000
0.080357,0.080915,0.080915,0.080357,0.062019,22153600
0.082031,0.082031,0.082589,0.082031,0.063311,52550400
0.084263,0.084263,0.084821,0.084263,0.065033,37251200
0.083147,0.083705,0.083705,0.083147,0.064172,23968000
0.083147,0.083147,0.083705,0.083147,0.064172,23385600
0.083705,0.083705,0.084263,0.083705,0.064603,37564800
0.082589,0.083147,0.083147,0.082589,0.063741,20428800
0.084821,0.084821,0.085379,0.084821,0.065464,137155200
0.085379,0.085379,0.085938,0.085379,0.065895,59292800
0.083705,0.084821,0.084821,0.083705,0.064603,50624000
0.084263,0.084263,0.084821,0.084263,0.065033,34272000
0.084263,0.084263,0.084821,0.084263,0.065033,37408000
0.083705,0.084263,0.084821,0.083705,0.064603,76092800
0.080915,0.082031,0.082031,0.080915,0.062449,25244800
0.083147,0.083147,0.083705,0.083147,0.064172,31315200
0.087054,0.087054,0.087612,0.087054,0.067187,65452800
0.094308,0.094308,0.094866,0.094308,0.072786,51452800
0.102121,0.102121,0.102679,0.102121,0.078816,71724800
0.097656,0.098214,0.098214,0.097656,0.07537,56403200
0.09933,0.09933,0.099888,0.09933,0.076662,53827200
0.097098,0.097656,0.097656,0.097098,0.074939,28896000
0.097656,0.097656,0.098214,0.097656,0.07537,28918400
0.093192,0.094308,0.094308,0.093192,0.071925,36579200
0.094866,0.094866,0.095982,0.094866,0.073217,24236800
0.098772,0.098772,0.09933,0.098772,0.076231,32188800
0.098772,0.098772,0.09933,0.098772,0.076231,54656000
0.098214,0.098772,0.098772,0.098214,0.075801,71254400
0.093192,0.094308,0.094308,0.093192,0.071925,35840000
0.092076,0.092634,0.092634,0.092076,0.071063,66080000
0.084821,0.085938,0.085938,0.084821,0.065464,70044800
0.088728,0.088728,0.089286,0.088728,0.068479,56604800
0.083147,0.083705,0.083705,0.083147,0.064172,33331200
0.080357,0.080915,0.080915,0.080357,0.062019,59920000
0.079799,0.080357,0.080357,0.079799,0.061588,41753600
0.083705,0.083705,0.084263,0.083705,0.064603,25715200
0.089286,0.089286,0.090402,0.089286,0.06891,46704000
0.09096,0.09096,0.092076,0.09096,0.070202,28000000
0.088728,0.089844,0.089844,0.088728,0.068479,55507200
0.090402,0.090402,0.09096,0.090402,0.069771,25827200
0.092076,0.092076,0.092634,0.092076,0.071063,33331200
0.092634,0.092634,0.093192,0.092634,0.071494,24259200
0.089844,0.090402,0.090402,0.089844,0.069341,44710400
0.086496,0.087612,0.087612,0.086496,0.066757,21212800
0.087054,0.087054,0.08817,0.087054,0.067187,31360000
0.089844,0.089844,0.090402,0.089844,0.069341,39603200
0.09096,0.09096,0.091518,0.09096,0.070202,53155200
0.089844,0.09096,0.09096,0.089844,0.069341,38528000
0.090402,0.090402,0.091518,0.090402,0.069771,54275200
0.090402,0.090402,0.09096,0.090402,0.069771,31472000
0.08817,0.088728,0.088728,0.08817,0.068049,22041600
0.08817,0.08817,0.088728,0.08817,0.068049,40297600
0.082589,0.083147,0.083147,0.082589,0.063741,31696000
0.082589,0.082589,0.083147,0.082589,0.063741,57904000
0.083705,0.083705,0.084263,0.083705,0.064603,38796800
0.082589,0.083147,0.083147,0.082589,0.063741,24528000
0.083705,0.083705,0.084263,0.083705,0.064603,19644800
0.082031,0.082589,0.082589,0.082031,0.063311,34316800
0.083147,0.083147,0.083705,0.083147,0.064172,25580800
0.084263,0.084263,0.084821,0.084263,0.065033,28380800
0.083705,0.084263,0.084263,0.083705,0.064603,13596800
0.082589,0.083147,0.083147,0.082589,0.063741,26633600
0.081473,0.082031,0.082031,0.081473,0.06288,34540800
0.082031,0.082031,0.082589,0.082031,0.063311,37945600
0.081473,0.082031,0.082031,0.081473,0.06288,30800000
0.081473,0.081473,0.082031,0.081473,0.06288,17427200
0.082031,0.082031,0.082589,0.082031,0.063311,35302400
0.082031,0.082031,0.082589,0.082031,0.063311,34809600
0.082031,0.082031,0.082589,0.082031,0.063311,23654400
0.080357,0.080915,0.080915,0.080357,0.062019,38371200
0.074219,0.074777,0.074777,0.074219,0.057282,45315200
0.073103,0.073661,0.073661,0.073103,0.05642,35145600
0.073661,0.073661,0.074219,0.073661,0.056851,52505600
0.072545,0.073103,0.073103,0.072545,0.05599,86934400
0.072545,0.072545,0.073661,0.072545,0.05599,22579200
0.06808,0.068638,0.068638,0.06808,0.052543,46547200
0.067522,0.06808,0.06808,0.067522,0.052113,51363200
0.066406,0.066964,0.066964,0.066406,0.051252,47152000
0.063058,0.063616,0.063616,0.063058,0.048668,50489600
0.06808,0.06808,0.068638,0.06808,0.052543,56336000
0.074219,0.074219,0.074777,0.074219,0.057282,65811200
0.079799,0.079799,0.080357,0.079799,0.061588,69193600
0.078683,0.079241,0.079241,0.078683,0.060727,55955200
0.074219,0.074777,0.074777,0.074219,0.057282,51609600
0.073661,0.074219,0.074219,0.073661,0.056851,84112000
0.072545,0.073103,0.073103,0.072545,0.05599,50780800
0.074219,0.074219,0.074777,0.074219,0.057282,67603200
0.075335,0.075335,0.075893,0.075335,0.058143,77952000
0.075335,0.075335,0.075893,0.075335,0.058143,50153600
0.079241,0.079241,0.079799,0.079241,0.061157,59136000
0.079241,0.079241,0.079799,0.079241,0.061157,84806400
0.079241,0.079241,0.079799,0.079241,0.061157,86643200
0.078683,0.079241,0.079241,0.078683,0.060727,71590400
0.077567,0.078125,0.078125,0.077567,0.059865,29097600
0.078125,0.078125,0.078683,0.078125,0.060296,23990400
0.077567,0.078125,0.078683,0.077567,0.059865,44307200
0.071429,0.071987,0.071987,0.071429,0.055128,85299200
0.071987,0.071987,0.072545,0.071987,0.055559,113590400
0.073103,0.073103,0.073661,0.073103,0.05642,164281600
0.075335,0.075335,0.075893,0.075335,0.058143,104048000
0.073661,0.074777,0.074777,0.073661,0.056851,41283200
0.070313,0.070871,0.070871,0.070313,0.054267,80550400
0.069754,0.070313,0.070313,0.069754,0.053835,73024000
0.068638,0.069196,0.069196,0.068638,0.052974,52595200
0.068638,0.068638,0.069196,0.068638,0.052974,48294400
0.070313,0.070313,0.070871,0.070313,0.054267,57926400
0.06808,0.068638,0.068638,0.06808,0.052543,70268800
0.06529,0.065848,0.065848,0.06529,0.05039,99232000
0.06529,0.06529,0.065848,0.06529,0.05039,82230400
0.065848,0.065848,0.066406,0.065848,0.050821,277401600
0.06808,0.06808,0.068638,0.06808,0.052543,82700800
0.070313,0.070313,0.070871,0.070313,0.054267,73987200
0.069196,0.070313,0.070313,0.069196,0.053405,53939200
0.071429,0.071429,0.071987,0.071429,0.055128,75465600
0.072545,0.072545,0.073103,0.072545,0.05599,84716800
0.071429,0.071987,0.071987,0.071429,0.055128,31606400
0.069196,0.069754,0.069754,0.069196,0.053405,103017600
0.067522,0.06808,0.06808,0.067522,0.052113,71008000
0.06808,0.06808,0.068638,0.06808,0.052543,54454400
0.06529,0.066406,0.066406,0.06529,0.05039,95737600
0.064174,0.064732,0.064732,0.064174,0.049529,76204800
0.063058,0.063616,0.063616,0.063058,0.048668,122035200
0.0625,0.063058,0.063058,0.0625,0.048237,75286400
0.063058,0.063058,0.063616,0.063058,0.048668,27619200
0.063616,0.063616,0.064174,0.063616,0.049098,38841600
0.064174,0.064174,0.064732,0.064174,0.049529,31987200
0.064174,0.064174,0.064732,0.064174,0.049529,51564800
0.063616,0.064174,0.064174,0.063616,0.049098,43276800
0.0625,0.063058,0.063058,0.0625,0.048237,31248000
0.0625,0.0625,0.063058,0.0625,0.048237,19196800
0.061384,0.061942,0.061942,0.061384,0.047376,47600000
0.0625,0.0625,0.063058,0.0625,0.048237,32905600
0.060268,0.061384,0.061384,0.060268,0.046514,39760000
0.058594,0.059152,0.059152,0.058594,0.045222,37676800
0.058594,0.058594,0.059152,0.058594,0.045222,37161600
0.058036,0.058594,0.058594,0.058036,0.044792,31404800
0.05692,0.057478,0.057478,0.05692,0.04393,33846400
0.057478,0.057478,0.058036,0.057478,0.044361,34406400
0.05971,0.05971,0.060268,0.05971,0.046084,54633600
0.05971,0.05971,0.060268,0.05971,0.046084,29993600
0.05971,0.05971,0.060268,0.05971,0.046084,35212800
0.05971,0.05971,0.060268,0.05971,0.046084,41731200
0.058594,0.059152,0.059152,0.058594,0.045222,29164800
0.057478,0.058594,0.058594,0.057478,0.044361,19868800
0.057478,0.057478,0.058036,0.057478,0.044361,28537600
0.05971,0.05971,0.060826,0.05971,0.046084,17561600
